Flat profile:

Each sample counts as 0.02 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ks/call  Ks/call  name    
  0.00  12564.32     0.00      795     0.00     0.00  ungetc
  0.00  12564.32     0.00      449     0.00     0.00  strcasecmp
  0.00  12564.32     0.00      397     0.00     0.00  _lx_fhfromfd
  0.00  12564.32     0.00      394     0.00     0.00  vfprintf
  0.00  12564.32     0.00      378     0.00     0.00  __chkabort
  0.00  12564.32     0.00      374     0.00     0.00  free_Memory
  0.00  12564.32     0.00      361     0.00     0.00  acos
  0.00  12564.32     0.00      361     0.00     0.00  asin
  0.00  12564.32     0.00      260     0.00     0.00  sprintf
  0.00  12564.32     0.00      260     0.00     0.00  vsprintf
  0.00  12564.32     0.00      225     0.00     0.00  read
  0.00  12564.32     0.00      220     0.00     0.00  __static__strfnumb__.home.developer.amiga.gcc.projects.libnix.sources.nix.time.strftime.c__strftime.c
  0.00  12564.32     0.00      168     0.00     0.00  __fflush
  0.00  12564.32     0.00      153     0.00     0.00  write
  0.00  12564.32     0.00      134     0.00     0.00  fprintf
  0.00  12564.32     0.00      131     0.00     0.00  __swbuf
  0.00  12564.32     0.00      113     0.00     0.00  MUI_DoNotiPresFal
  0.00  12564.32     0.00      111     0.00     0.00  fgets
  0.00  12564.32     0.00       50     0.00     0.00  KeyButtonFunc
  0.00  12564.32     0.00       49     0.00     0.00  atoi
  0.00  12564.32     0.00       49     0.00     0.00  strtol
  0.00  12564.32     0.00       49     0.00     0.00  strtoul
  0.00  12564.32     0.00       48     0.00     0.00  strncmp
  0.00  12564.32     0.00       47     0.00     0.00  Log
  0.00  12564.32     0.00       47     0.00     0.00  Status_Log
  0.00  12564.32     0.00       44     0.00     0.00  ctime
  0.00  12564.32     0.00       44     0.00     0.00  gmtime
  0.00  12564.32     0.00       44     0.00     0.00  localtime
  0.00  12564.32     0.00       44     0.00     0.00  strftime
  0.00  12564.32     0.00       42     0.00     0.00  Set_Param_Menu
  0.00  12564.32     0.00       42     0.00     0.00  free
  0.00  12564.32     0.00       40     0.00     0.00  __fclose
  0.00  12564.32     0.00       37     0.00     0.00  BusyWin_Del
  0.00  12564.32     0.00       37     0.00     0.00  BusyWin_New
  0.00  12564.32     0.00       37     0.00     0.00  strcmp
  0.00  12564.32     0.00       32     0.00     0.00  __allocfd
  0.00  12564.32     0.00       32     0.00     0.00  _setup_file
  0.00  12564.32     0.00       32     0.00     0.00  close
  0.00  12564.32     0.00       32     0.00     0.00  open
  0.00  12564.32     0.00       28     0.00     0.00  Disable_ES_Gads
  0.00  12564.32     0.00       27     0.00     0.00  time
  0.00  12564.32     0.00       26     0.00     0.00  getviewscrncoords
  0.00  12564.32     0.00       22     0.00     0.00  strmfp
  0.00  12564.32     0.00       20     0.00     0.00  CloudLayer_New
  0.00  12564.32     0.00       20     0.00     0.00  calloc
  0.00  12564.32     0.00       20     0.00     0.00  fclose
  0.00  12564.32     0.00       20     0.00     0.00  fopen
  0.00  12564.32     0.00       20     0.00     0.00  freopen
  0.00  12564.32     0.00       20     0.00     0.00  isatty
  0.00  12564.32     0.00       19     0.00     0.00  lseek
  0.00  12564.32     0.00       18     0.00     0.00  strlen
  0.00  12564.32     0.00       16     0.00     0.00  TrimZeros
  0.00  12564.32     0.00       16     0.00     0.00  Wave_New
  0.00  12564.32     0.00       16     0.00     0.00  setfloat
  0.00  12564.32     0.00       15     0.00     0.00  Handle_EP_Window
  0.00  12564.32     0.00       14     0.00     0.00  Rootstock_SetColorName
  0.00  12564.32     0.00       14     0.00     0.00  Rootstock_SetName
  0.00  12564.32     0.00       11     0.00     0.00  Handle_ES_Window
  0.00  12564.32     0.00       10     0.00     0.00  SetMemoryReqTxt
  0.00  12564.32     0.00        8     0.00     0.00  Foliage_Load
  0.00  12564.32     0.00        8     0.00     0.00  MUI2_MenuCheck_Hack
  0.00  12564.32     0.00        8     0.00     0.00  VertexIndex_Del
  0.00  12564.32     0.00        8     0.00     0.00  __static__VertexIndex_New.part.1__...MapTopoObject.c__MapTopoObject.c
  0.00  12564.32     0.00        7     0.00     0.00  freevecarray
  0.00  12564.32     0.00        7     0.00     0.00  readDEM
  0.00  12564.32     0.00        6     0.00     0.00  RotationMatrix3D
  0.00  12564.32     0.00        5     0.00     0.00  FixPar
  0.00  12564.32     0.00        5     0.00     0.00  Handle_APP_Windows
  0.00  12564.32     0.00        5     0.00     0.00  findangle2
  0.00  12564.32     0.00        5     0.00     0.00  rotate
  0.00  12564.32     0.00        4     0.00     0.00  CheckIFF
  0.00  12564.32     0.00        4     0.00     0.00  FindIFFChunk
  0.00  12564.32     0.00        4     0.00     0.00  Handle_SC_Window
  0.00  12564.32     0.00        4     0.00     0.00  Multiply3x3Matrices
  0.00  12564.32     0.00        3     0.00     0.00  Ecotype_Del
  0.00  12564.32     0.00        3     0.00     0.00  Ecotype_Load
  0.00  12564.32     0.00        3     0.00     0.00  FoliageGroup_Del
  0.00  12564.32     0.00        3     0.00     0.00  FoliageGroup_Load
  0.00  12564.32     0.00        3     0.00     0.00  Foliage_Del
  0.00  12564.32     0.00        3     0.00     0.00  WaveData_Del
  0.00  12564.32     0.00        3     0.00     0.00  WaveData_New
  0.00  12564.32     0.00        3     0.00     0.00  tell
  0.00  12564.32     0.00        2     0.00     0.00  BuildGenericKeyTable
  0.00  12564.32     0.00        2     0.00     0.00  BuildRotationMatrix
  0.00  12564.32     0.00        2     0.00     0.00  CloudData_Del
  0.00  12564.32     0.00        2     0.00     0.00  CloudData_New
  0.00  12564.32     0.00        2     0.00     0.00  DirList_Add
  0.00  12564.32     0.00        2     0.00     0.00  DirList_Del
  0.00  12564.32     0.00        2     0.00     0.00  DirList_New
  0.00  12564.32     0.00        2     0.00     0.00  DisposeEcotypes
  0.00  12564.32     0.00        2     0.00     0.00  FreeGenericKeyTable
  0.00  12564.32     0.00        2     0.00     0.00  User_Message_Def
  0.00  12564.32     0.00        2     0.00     0.00  computesinglebox
  0.00  12564.32     0.00        2     0.00     0.00  fwrite
  0.00  12564.32     0.00        2     0.00     0.00  getfilenameptrn
  0.00  12564.32     0.00        2     0.00     0.00  realloc
  0.00  12564.32     0.00        2     0.00     0.00  rmdir
  0.00  12564.32     0.00        1     0.00     0.00  ApplyImageScale
  0.00  12564.32     0.00        1     0.00     0.00  BitmapImage_Load
  0.00  12564.32     0.00        1     0.00     0.00  BitmapImage_Unload
  0.00  12564.32     0.00        1     0.00     0.00  BuildCloudKeyTable
  0.00  12564.32     0.00        1     0.00     0.00  BuildKeyTable
  0.00  12564.32     0.00        1     0.00     0.00  BuildTrigTables
  0.00  12564.32     0.00        1     0.00     0.00  BuildWaveKeyTable
  0.00  12564.32     0.00        1     0.00     0.01  Celestial_Bodies
  0.00  12564.32     0.00        1     0.00     0.00  Close_ES_Window
  0.00  12564.32     0.00        1     0.00     0.00  Close_Log_Window
  0.00  12564.32     0.00        1     0.00     0.00  Close_Render_Window
  0.00  12564.32     0.00        1     0.00     0.00  Close_SC_Window
  0.00  12564.32     0.00        1     0.00     0.00  CloudWave_Init
  0.00  12564.32     0.00        1     0.00     0.00  DataBase_Del
  0.00  12564.32     0.00        1     0.00     0.00  DataBase_New
  0.00  12564.32     0.00        1     0.00     0.00  Database_Load
  0.00  12564.32     0.00        1     0.00     0.00  Database_LoadDisp
  0.00  12564.32     0.00        1     0.00     0.00  Disable_ES_Window
  0.00  12564.32     0.00        1     0.00     0.00  DitherTable_Del
  0.00  12564.32     0.00        1     0.00     0.00  DitherTable_New
  0.00  12564.32     0.00        1     0.00     0.00  FreeAllVectors
  0.00  12564.32     0.00        1     0.00     0.00  FreeKeyTable
  0.00  12564.32     0.00        1     0.00     0.00  FreeTrigTables
  0.00  12564.32     0.00        1     0.00     0.00  Handle_RN_Window
  0.00  12564.32     0.00        1     0.00     1.18  InitCloudMap
  0.00  12564.32     0.00        1     0.00     9.83  InitDEMMap
  0.00  12564.32     0.00        1     0.00     0.00  InitVectorMap
  0.00  12564.32     0.00        1     0.00     0.00  LoadForestModels
  0.00  12564.32     0.00        1     0.00     0.00  Log_ElapsedTime
  0.00  12564.32     0.00        1     0.00     0.00  Make_SC_Window
  0.00  12564.32     0.00        1     0.00     0.00  ModeList_Choose
  0.00  12564.32     0.00        1     0.00     0.00  ModeList_Del
  0.00  12564.32     0.00        1     0.00     0.00  ModeList_New
  0.00  12564.32     0.00        1     0.00     0.00  NegateVector
  0.00  12564.32     0.00        1     0.00     0.00  ResetTimeLines
  0.00  12564.32     0.00        1     0.00     0.00  Rexx_Del
  0.00  12564.32     0.00        1     0.00     0.00  Rexx_New
  0.00  12564.32     0.00        1     0.00     0.00  SaveProject
  0.00  12564.32     0.00        1     0.00     0.00  SetRenderSpeedGauge
  0.00  12564.32     0.00        1     0.00     0.00  Set_ES_Window
  0.00  12564.32     0.00        1     0.00     0.00  UndoPar
  0.00  12564.32     0.00        1     0.00     0.00  UnitVector
  0.00  12564.32     0.00        1     0.00     0.00  WCS_App_Del
  0.00  12564.32     0.00        1     0.00     0.00  WCS_App_New
  0.00  12564.32     0.00        1     0.00     0.00  WCS_App_Startup
  0.00  12564.32     0.00        1     0.00     0.00  Wave_Init
  0.00  12564.32     0.00        1     0.00     0.00  Wave_Load
  0.00  12564.32     0.00        1     0.00     0.00  __static__DataBase_Del.part.2__...DataBase.c__DataBase.c
  0.00  12564.32     0.00        1     0.00     0.00  __static__Rexx_Del.part.2__...RexxSupport.c__RexxSupport.c
  0.00  12564.32     0.00        1     0.00     0.00  atof
  0.00  12564.32     0.00        1     0.00     0.00  autoactivate
  0.00  12564.32     0.00        1     0.00     0.00  closebitmaps
  0.00  12564.32     0.00        1     0.00     0.00  closesharedwindow
  0.00  12564.32     0.00        1     0.00     0.00  freeQCmaps
  0.00  12564.32     0.00        1     0.00     0.00  getcwd
  0.00  12564.32     0.00        1     0.00     0.00  initmopar
  0.00  12564.32     0.00        1     0.00     0.00  initpar
  0.00  12564.32     0.00        1     0.00     0.00  loadparams
  0.00  12564.32     0.00        1     0.00     0.00  loadparamsV2
  0.00  12564.32     0.00        1     0.00    11.04  main
  0.00  12564.32     0.00        1     0.00     0.00  make_window
  0.00  12564.32     0.00        1     0.00     0.00  openbitmaps
  0.00  12564.32     0.00        1     0.00     0.00  setvalues
  0.00  12564.32     0.00        1     0.00     0.00  setview
  0.00  12564.32     0.00        1     0.00     0.00  sortrenderlist
  0.00  12564.32     0.00        1     0.00     0.00  sscanf
  0.00  12564.32     0.00        1     0.00     0.00  vsscanf

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
