/*----------------------- colormap.dat ----------------------------*/
  0    0    0
110    0    0
133    1    1
155    5    5
180    5    5
205   10   10
235   15   15
255   20   20
250    0  145
245    0  180
215    0  230
165    0  245
125    0  255
 65   65  255
  0   88  255
  0  130  225
  0  160  200
  0  184  143
  0  200   90
  0  215    0
 70  215    0
110  220    5
150  225   10
195  230    5
220  235    0
240  240    0
245  240   40
250  240   85
255  240  130
255  245  170
255  250  215
255  255  255
